"Pos";"Age";"Tm";"G";"GS";"MP";"X3P.";"X2P";"X2PA";"X2P.";"FT";"FTA";"FT.";"ORB";"DRB";"TRB";"AST";"STL";"BLK";"TOV";"PF";"PTS"
"SF";24;"TOR";37;12;24.5;32.4;1.2;2.5;48.4;0.4;0.5;72.2;0.5;1.8;2.3;2.1;1.1;0.1;0.8;1.6;4.6
"SG";28;"POR";70;70;36.5;37.9;6;12.1;49.4;2;2.6;75.7;0.7;3.6;4.2;4.4;0.8;0.6;1.8;2.6;22.2
"PG";27;"IND";71;3;18.7;29.4;2.9;5.5;52.5;0.5;0.6;83.3;0.5;2.1;2.7;5;0.8;0.2;1.4;1;6.5
"PF";22;"CHO";16;0;18.3;37.5;1.5;2.9;52.2;0.9;1.1;82.4;0.9;3.1;4.1;0.8;0.5;0.2;0.7;2.3;5.6
"PF";28;"IND";69;0;19.9;43.5;2;3.7;54.9;0.7;0.8;82.8;0.4;2.1;2.5;1.1;0.2;0.1;0.6;1.7;10.3
"C";32;"LAL";68;68;16.6;50;2.8;4.4;64;0.8;1.2;64.6;1.8;3.9;5.7;0.5;0.5;1.4;0.8;2.3;6.6
"SG";28;"LAC";56;4;15.6;27;0.9;1.6;52.2;0.3;0.6;55.9;0.5;2.2;2.7;0.6;0.5;0.1;0.4;1.3;3.3
"SF";27;"CLE";40;1;14.8;21.5;1.5;2.7;55.7;0.6;0.8;71;0.9;1.9;2.8;0.4;0.6;0.2;0.7;1.8;4.6
"PG";23;"MIN";30;2;19.7;38.2;1.9;3.4;56.9;0.9;1.3;66.7;0.2;1.4;1.6;4.2;1.1;0.1;1;1;7.6
"SG";26;"HOU";71;23;22.8;40;0.9;1.3;65.6;0.7;0.9;74.6;0.3;1.9;2.2;0.8;0.6;0.2;0.7;2.2;10.1
"SG";28;"TOT";37;4;21.2;35.7;2.8;6.5;43.3;2.2;2.9;76.1;0.5;2.9;3.4;2.5;0.6;0.4;1.2;2;11.5
"SG";28;"WAS";29;4;22.6;37.7;3.2;7.3;44.1;2.2;2.9;77.1;0.6;3;3.6;2.8;0.7;0.5;1.3;2.1;12.8
"SG";28;"DEN";4;0;8;50;0;0.5;0;0.8;1;75;0.3;1;1.3;1;0.5;0.3;0;0.5;2.3
"SG";28;"DET";4;0;24.5;18.8;2.8;6.8;40.7;4;5.5;72.7;0;3.8;3.8;1.8;0;0;1.3;2.5;11.8
"C";29;"NOP";60;8;17.4;33.5;1.1;2;57.3;0.9;1.2;74;0.6;2.4;3;1.4;0.6;0.4;0.8;2.1;6.6
"PG";21;"MEM";60;8;19.5;28.6;2;4.4;46.4;1.6;2;76.9;0.7;3;3.7;2.9;1.3;0.3;1.4;1.8;7.6
"PF";22;"SAS";18;0;5.8;0;1.3;2.2;60;0.6;0.7;76.9;0.7;1.2;1.8;0.6;0.2;0.3;0.6;0.4;3.2
"PF";25;"SAC";1;0;19;NA;2;3;66.7;2;2;100;2;5;7;0;0;0;0;5;6
"SG";32;"WAS";10;0;16.1;31.4;0.8;2.4;33.3;1.5;2;75;0.4;0.8;1.2;1.2;1;0.4;0.4;1.4;6.4
"SF";26;"TOR";28;1;5.8;36.4;0.1;0.3;57.1;0.1;0.3;37.5;0.1;0.5;0.6;0.4;0.2;0.1;0.1;0.6;1.3
"PG";31;"SAS";66;1;22.5;38.2;1.6;3;53.3;1.5;1.7;86.6;0.3;1.3;1.6;1.8;0.8;0.1;0.8;1.6;11.6
